winery,wine,year,rating,num_review,region,price,type,grapes
Luis Cañas,Crianza 2016,2016,"3,8",4260,España / Rioja,"10,15",Vino tinto,100 % de Tempranillo
Mengoba,Mencía - Alicante Bouschet 2019,2019,"3,7",63,España / Castilla y León / Bierzo,"15,90",Vino tinto,"Alicante Bouschet, Mencia"
Las Calzadas,Tinácula X 2018,2018,"4,0",91,España / Castilla / Ribera del Júcar,14,Vino tinto,"Tempranillo, Bobal"
Losada,Bierzo Red 2018,2018,"4,0",1519,España / Castilla y León / Bierzo,"11,30",Vino tinto,100 % de Mencia
Bertha,Cava Brut 1989 1989,1989,"4,0",106,España / Cava,"9,80",Vino espumoso,100 % de Macabeo
Condado de Haza,Crianza Ribera del Duero 2017,2017,"3,9",2001,España / Castilla y León / Ribera del Duero,"12,04",Vino tinto,100 % de Tempranillo
Bohórquez,Reserva 2009,2009,"4,2",484,España / Castilla y León / Ribera del Duero,"21,65",Vino tinto,"88 % de Tempranillo, 9 % de Cabernet Sauvignon, 3 % de Merlot"
Baron de Ley,Varietales Garnacha Rioja 2015,2015,"3,6",350,España / Rioja,"11,90",Vino tinto,100 % de Garnacha
Clos Mogador,Manyetes 2016,2016,"4,3",128,España / Cataluña / Priorato,"59,90",Vino tinto,100 % de Cariñena
Señorío de Libano,Reserva 2012,2012,"3,9",108,España / Rioja,"14,82",Vino tinto,"Tempranillo, Graciano, Garnacha"
Marqués de Riscal,Rioja 150 Aniversario 2016,2016,"4,4",67,España / Rioja,51,Vino tinto,"Graciano, Tempranillo, Mazuelo"
Arzuaga,Gran Arzuaga Ribera del Duero 2004,2004,"4,6",110,España / Castilla y León / Ribera del Duero,149,Vino tinto,"Tempranillo, Albillo, Cabernet Sauvignon"
Las Campanas,Garnacha Rosé 2020,2020,"3,5",77,España / Navarra,"4,20",Vino rosado,Garnacha
Costers del Siurana,Usatges Rouge 2011,2011,"3,8",61,España / Cataluña / Priorato,"22,68",Vino tinto,"Tempranillo, Cariñena, Garnacha"
Artadi,Artazu Pasos de San Martín Garnacha 2015,2015,"3,8",292,España / Vino de España,"16,55",Vino de España,100 % de Garnacha
Oráculo,Tinto 2015,2015,"4,1",63,España / Castilla y León / Ribera del Duero,44,Vino tinto,Tempranillo
Ordóñez,Vatan Arena Tinta de Toro 2014,2014,"4,8",80,España / Castilla y León / Toro,"369,05",Vino tinto,100 % de Tinta de toro
Bodegas Frontonio,Telescópico Carignan 2016,2016,"3,7",179,España / Aragón / Valdejalón,"14,30",Vino tinto,100 % de Cariñena
Dominio de Tares,Cepas Viejas Mencía Bierzo 2017,2017,"3,9",1194,España / Castilla y León / Bierzo,"12,30",Vino tinto,100 % de Mencia
Valcarlos,Fortius Reserva 2016,2016,"3,9",71,España / Navarra,"7,01",Vino tinto,"Cabernet Sauvignon, Tempranillo"
