winery,wine,year,rating,num_review,region,price,type,grapes
Clos d'Agon,Amic Red 2017,2017,"3,7",58,España / Cataluña,"15,85",Vino tinto,100 % de Garnacha
Hnos. del Villar,Oro de Castilla Verdejo 2019,2019,"4,0",288,España / Castilla y León / Rueda,"6,95",Vino blanco,100 % de Verdejo
Bodegas Javier San Pedro Ortega,Viuda Negra Crianza 2017,2017,"3,8",232,España / Rioja,"8,50",Vino tinto,Tempranillo
Álvarez y Díez,Mantel Blanco Sauvignon 2013,2013,"3,8",95,España / Castilla y León / Rueda,"8,25",Vino blanco,Sauvignon Blanc
Martinet,Clos Martinet 2019,2019,"4,2",49,España / Cataluña / Priorato,"54,90",Vino tinto,100 % de Garnacha
Bodega Emina,Sauvignon Blanc 2020,2020,"3,8",41,España / Castilla y León / Rueda,"6,20",Vino blanco,Sauvignon Blanc
Menade,Verdejo 2021,2021,"3,9",120,España / Castilla y León,"8,40",Vino blanco,100 % de Verdejo
Bodegas Javier San Pedro Ortega,Viuda Negra Villahuercos 2016,2016,"3,9",50,España / Rioja,"16,75",Vino blanco,Tempranillo Blanco
Sierra Cantabria,Otoman 2015,2015,"3,7",85,España / Rioja,"12,44",Vino blanco,"Malvasia, Viura, Sauvignon Blanc"
Más Que Vinos,Ercavio Tempranillo Roble 2015,2015,"3,8",486,España / Castilla,"7,90",Más Que Vinos,100 % de Tempranillo
Álvaro Domecq,La Janda Fino N.V.,7288,"3,5",243,España / Andalucía / Jerez-Xérès-Sherry,"9,50",Vino fortificado,100 % de Palomino
Ramón Bilbao,Edición Limitada 2016,2016,"4,0",1013,España / Rioja,"15,95",Vino tinto,100 % de Tempranillo
El Coto,Coto Real Reserva 2014,2014,"3,7",187,España / Rioja,"24,90",Vino tinto,"Garnacha Tinta, Tempranillo"
Barbadillo,Reliquia Palo Cortado Sherry N.V.,7682,"4,7",58,España / Andalucía / Jerez-Xérès-Sherry / Jerez Palo Cortado,,Vino fortificado,Palomino
Cune (CVNE),Crianza 2011,2011,"3,4",4358,España / Rioja,"16,50",Vino tinto,100 % de Tempranillo
Pittacum,Mencía 2017,2017,"3,9",482,España / Castilla y León / Bierzo,"10,30",Vino tinto,100 % de Mencia
Quinta da Muradella,Muradella Viticultura de Montaña 2013,2013,"4,0",45,España / Galicia,"45,95",Vino tinto,"Mencia, Doña Blanca"
Izadi,Salbide Rioja 2019,2019,"3,9",140,España / Rioja,"6,90",Vino tinto,100 % de Tempranillo
Bodegas Aragonesas,Coto de Hayas Chardonnay 2020,2020,"3,2",50,España / Aragón / Campo de Borja,"4,40",Vino blanco,Chardonnay
Luzon,Colección Monastrell 2018,2018,"3,5",134,España / Murcia / Jumilla,"3,50",Vino tinto,Monastrell
Colet,Tradicional N.V.,9032,"3,7",445,España / Cataluña / Penedès,,Vino espumoso,"Parellada, Macabeo, Xarel-lo"
Coma d'En Bonet,Dardell Tinto 2019,2019,"3,4",107,España / Cataluña / Terra Alta,"6,50",Vino tinto,"Shiraz/Syrah, Garnacha"
Clos Figueras,Font de la Figuera Tinto 2019,2019,"4,1",39,España / Cataluña / Priorato,"25,83",Vino tinto,100 % de Cariñena
Scala Dei,Cartoixa Priorat 2016,2016,"3,9",1052,España / Cataluña / Priorato,"36,45",Vino tinto,"75 % de Garnacha, 25 % de Cariñena"
Winery On Creations,Demuerte Classic 2019,2019,"4,1",45,España / Murcia / Yecla,"9,69",Vino tinto,"Shiraz/Syrah, Monastrell"
Sandara,Sparkling Passionate Bubbles Rosado N.V.,7238,"3,8",1170,España / Valencia,"4,90",Vino espumoso,Bobal
Bodegas Clunia,Finca El Rincón de Clunia 2016,2016,"4,2",53,España / Castilla y León,"39,90",Vino tinto,Tempranillo
Primitivo Collantes,Socaire Palomino 2018,2018,"4,0",136,España / Andalucía / Cádiz,"18,25",Vino blanco,Palomino
Telmo Rodriguez,Corriente 2018,2018,"3,8",526,España / Rioja,"11,60",Vino tinto,100 % de Tempranillo
Chivite,Las Fincas Rosado 2021,2021,"3,9",232,España / Navarra,"9,50",Vino rosado,100 % de Garnacha
Baron de Ley,Rioja Reserva 2017,2017,"3,9",1912,España / Rioja,"9,10",Vino tinto,100 % de Tempranillo
Nin-Ortiz,Selma de Nin Blanco 2017,2017,"4,2",33,España / Cataluña,"63,95",Vino blanco,"Roussanne, Marsanne, Chenin Blanc, Xarel-lo"
Celler Frisach,Sang de Corb 2017,2017,"4,0",279,España / Cataluña / Terra Alta,"18,80",Vino tinto,"40 % de Cariñena, 40 % de Garnacha, 20 % de Garnacha Peluda"
Losada,Godello 2018,2018,"4,1",206,España / Castilla y León / Bierzo,"13,90",Vino blanco,100 % de Godello
