winery,wine,year,rating,num_review,region,price,type,grapes
El Lagar de Isilla,Crianza 2017,2017,"3,7",63,España / Castilla y León / Ribera del Duero,"13,95",Vino tinto,100 % de Tempranillo
Marqués de Riscal,Finca Torrea Rioja 2015,2015,"4,0",546,España / Rioja,"25,48",Vino tinto,"90 % de Tempranillo, 10 % de Graciano"
Vall Llach,Priorat Red 2002,2002,"4,1",41,España / Cataluña / Priorato,55,Vino tinto,"Merlot, Cariñena, Cabernet Sauvignon"
Marqués de Murrieta,Reserva Rioja (Finca Ygay) 2016,2016,"4,2",9559,España / Rioja,"21,80",Vino tinto,100 % de Tempranillo
Villota,Selvanevada 2020,2020,"3,8",113,España / Rioja / Rioja Alavesa,"9,98",Vino tinto,Tempranillo
Torre de Barreda,Pañofino 2019,2019,"4,0",32,España / Castilla,"11,50",Vino tinto,Tempranillo
Manuel Formigo,Formigo 2021,2021,"4,0",27,España / Galicia / Ribeiro,"7,25",Vino blanco,100 % de Palomino
R. López de Heredia,Viña Tondonia Gran Reserva 1981,1981,"4,3",73,España / Rioja,199,Vino tinto,"Tempranillo, Mazuelo, Grenache"
Vivanco,4 Varietales Colección Dulce de Invierno Colección Rioja 2018,2018,"4,1",36,España / Rioja,"19,85",Vino fortificado,"50 % de Tempranillo, 20 % de Graciano, 20 % de Garnacha, 10 % de Mazuelo"
Familia Torres,Gran Coronas Reserva Cabernet Sauvignon 2013,2013,"3,7",4659,España / Cataluña / Penedès,"7,62",Vino tinto,"85 % de Cabernet Sauvignon, 15 % de Tempranillo"
Cillar de Silos,Ribera del Duero Crianza 2014,2014,"3,8",595,España / Castilla y León / Ribera del Duero,"19,80",Vino tinto,"Merlot, Tempranillo, Cabernet Sauvignon"
Tres Pilares,Verdejo 2019,2019,"4,0",98,España / Castilla y León / Rueda,"6,25",Vino blanco,Verdejo
Marqués del Real Tesoro,Del Principe Amontillado Muy Viejo N.V.,6478,"4,0",52,España / Andalucía / Jerez-Xérès-Sherry / Jerez Amontillado,,Vino fortificado,Palomino
Viña Mayor,Ribera del Duero Gran Reserva 1996,1996,"3,6",25,España / Castilla y León / Ribera del Duero,"34,90",Vino tinto,Tempranillo
Aibar,Xyz Tridimensional 2016,2016,"3,5",28,España / Cataluña / Tarragona / Montsant,"21,90",Vino tinto,"Shiraz/Syrah, Grenache, Merlot"
Anayón,Cariñena Parcela 15 Viñas Viejas 2017,2017,"4,4",29,España / Aragón / Cariñena,"54,90",Vino tinto,Cariñena
Viña Ijalba,Cuvée 2016,2016,"3,9",57,España / Rioja,"11,95",Vino tinto,"Tempranillo, Graciano, Maturana Tinta"
Mas Doix,Salanques 2010,2010,"3,9",334,España / Cataluña / Priorato,"33,88",Vino tinto,"Shiraz/Syrah, Cariñena, Garnacha"
