winery,wine,year,rating,num_review,region,price,type,grapes
Quinta Milú,La Cometa 2019,2019,"4,0",273,España / Castilla y León / Ribera del Duero,"14,90",Vino tinto,100 % de Tempranillo
Bodegas Mano a Mano,Mano a Mano 2016,2016,"3,7",996,España / Castilla,"6,59",Vino tinto,100 % de Tempranillo
Marqués de Griñon,Emeritvs (Emeritus) 2011,2011,"4,3",198,España / Castilla / Dominio de Valdepusa,"52,94",Vino tinto,"83 % de Cabernet Sauvignon, 11 % de Petit Verdot, 6 % de Shiraz/Syrah"
Roger Goulart,Cava Reserva Brut Nature 2015,2015,"3,7",197,España / Cava,"10,95",Vino espumoso,"Macabeo, Parellada"
Casa Castillo,Monastrell 2020,2020,"3,8",101,España / Murcia / Jumilla,"7,99",Vino tinto,100 % de Monastrell
Marqués de Altillo,Crianza 2015,2015,"3,4",72,España / Rioja,"5,54",Vino tinto,"Tempranillo, Grenache"
Barco del Corneta,Cucú Verdejo 2015,2015,"3,7",187,España / Castilla y León,"9,35",Vino blanco,100 % de Verdejo
Hacienda el Ternero,Reserva 2011,2011,"3,9",321,España / Rioja,"19,68",Vino tinto,"Tempranillo, Mazuelo"
Hiriart,Crianza 2014,2014,"3,5",53,España / Castilla y León / Cigales,"10,50",Vino tinto,100 % de Tinta del Pais
La Vizcaína,El Rapolao (Lomas de Valtuille) 2018,2018,"3,9",411,España / Castilla y León / Bierzo,"21,90",Vino tinto,100 % de Mencia
Garay,Bleu 2019,2019,"4,2",26,España / Andalucía / Condado de Huelva,"10,90",Vino blanco,Zalema
Criadores de Rioja,El Guardián Crianza 2014,2014,"3,6",299,España / Rioja,"11,20",Vino tinto,"Tempranillo, Grenache"
Equipo Navazos,La Bota 99 de Florpower 2019,2019,"3,5",34,España / Andalucía / Jerez-Xérès-Sherry / Manzanilla,"23,50",Vino blanco,100 % de Palomino
Llopart,Cava Brut Nature Reserva 2013,2013,"3,8",429,España / Cava,"12,78",Vino espumoso,"Macabeo, Xarel-lo, Parellada"
Canopy,Castillo de Belarfonso Mentrida 2019,2019,"3,6",85,España / Castilla / Méntrida,"8,75",Vino tinto,100 % de Garnacha
Bodegas Amaren,Tempranillo - Garnacha Crianza 2017,2017,"4,0",303,España / Rioja,"12,99",Vino tinto,"90 % de Tempranillo, 10 % de Garnacha"
Las Moradas de San Martín,Libro Ocho. Las Luces 2008,2008,"4,0",157,España / Madrid,"33,90",Vino tinto,Garnacha
Viña Ijalba,Reserva 2012,2012,"3,7",146,España / Rioja,"13,90",Vino tinto,"Tempranillo, Graciano"
4 Kilos Vinícola,4 Kilos 2019,2019,"4,0",214,España / Islas Baleares / Mallorca,"30,09",Vino tinto,"50 % de Callet, 40 % de Cabernet Sauvignon, 10 % de Merlot"
Castaño,Monastrell Dulce 2010,2010,"3,9",45,España / Murcia / Yecla,"11,89",Vino de postre,100 % de Monastrell
Terroir Al Límit Soc. Lda,Les Tosses 2016,2016,"4,6",38,España / Cataluña / Priorato,210,Vino tinto,100 % de Cariñena
Luberri,Seis de Luberri Rioja 2018,2018,"3,7",175,España / Rioja,"8,30",Vino tinto,100 % de Tempranillo
Vinyes del Terrer,Terrenal d'Aubert Dolç 2017,2017,"4,0",35,España / Cataluña / Tarragona,"13,50",Vino de postre,"80 % de Garnacha, 20 % de Cabernet Sauvignon"
Raimat,Castell de Raimat Chardonnay 2021,2021,"3,8",199,España / Cataluña / Costers del Segre,"6,25",Vino blanco,100 % de Chardonnay
Finca Torremilanos,Los Cantos de Torremilanos 2019,2019,"3,9",97,España / Castilla y León / Ribera del Duero,"11,95",Vino tinto,100 % de Tempranillo
Jiménez-Landi,Piélago 2017,2017,"3,7",33,España / Castilla / Méntrida,"30,10",Vino tinto,100 % de Garnacha
L'Encastell,Roquers de Porrera 2016,2016,"4,2",103,España / Cataluña / Priorato,"36,90",Vino tinto,"Shiraz/Syrah, Merlot, Carignan, Garnacha"
Alonso & Pedrajo,Suañé Blanco 2017,2017,"4,3",98,España / Rioja,"24,65",Vino blanco,"75 % de Viura, 25 % de Sauvignon Blanc"
Pago de Larrainzar,Angel 2017,2017,"3,6",248,España / Navarra,"8,49",Vino tinto,"Garnacha, Cabernet Sauvignon, Cabernet Franc, Merlot"
Pujanza,Rioja Norte 2007,2007,"4,1",93,España / Rioja,"49,90",Vino tinto,100 % de Tempranillo
Barbadillo,Reliquia Palo Cortado Sherry N.V.,7682,"4,7",58,España / Andalucía / Jerez-Xérès-Sherry / Jerez Palo Cortado,,Vino fortificado,Palomino
Celler Aixalà Alcait,Les Clivelles de Torroja 2019,2019,"4,1",52,España / Cataluña / Priorato,"14,28",Vino tinto,Cariñena
Lopez Cristobal,Parcela Uno 2018,2018,"4,4",49,España / Castilla y León / Ribera del Duero,"28,50",Vino tinto,Tempranillo
Emendis,Flos Sauvignon Blanc - Muscat 2021,2021,"3,8",37,España / Cataluña / Penedès,"6,95",Vino blanco,"Muscat Blanc, Sauvignon Blanc"
Matías i Torres,Negramoll Tinto 2015,2015,"3,7",77,España / Islas Canarias / La Palma,"26,80",Vino tinto,Negramoll
Beronia,Rioja Gran Reserva 1994,1994,"4,5",57,España / Rioja,"20,50",Vino tinto,Tempranillo
Castillo Perelada,Només Garnatxa Blanca 2021,2021,"3,8",58,España / Cataluña / Empordà,"7,25",Vino blanco,100 % de Garnacha Blanca
Mortitx,Rodal Pla 2019,2019,"4,0",31,España / Islas Baleares / Mallorca,"13,92",Vino tinto,"Shiraz/Syrah, Cabernet Sauvignon, Merlot"
