winery,wine,year,rating,num_review,region,price,type,grapes
Corona de Aragón,Reserva 2012,2012,"3,8",122,España / Aragón / Cariñena,"8,12",Vino tinto,"Garnacha, Cabernet Sauvignon, Tempranillo, Cariñena"
Bodegas El Nido,El Nido 2007,2007,"4,7",120,España / Murcia / Jumilla,249,Vino tinto,"Cabernet Sauvignon, Monastrell"
La Vinya del Vuit,La Vinya del Vuit (8) 2015,2015,"4,5",40,España / Cataluña / Priorato,80,Vino tinto,Garnacha
Tianna Negre,Ses Nines Selecció 07/9 2015,2015,"3,9",89,España / Islas Baleares / Mallorca / Binissalem-Mallorca,"14,90",Vino tinto,"Shiraz/Syrah, Cabernet Sauvignon, Merlot, Callet, Manto Negro"
San Valero,Origium Roble 2020,2020,"3,5",26,España / Aragón / Cariñena,"4,50",Vino tinto,Garnacha
Pere Guardiola,Torre de Capmany Garnatxa d'Empordà N.V.,9564,"4,0",63,España / Cataluña / Empordà,"10,96",Vino de postre,Garnacha Blanca
Mas Foraster,Josep Foraster Trepat 2021,2021,"3,7",60,España / Cataluña / Conca de Barberà,"13,45",Vino tinto,Trepat
Fillaboa,Selección Finca Monte Alto 2019,2019,"4,1",40,España / Galicia / Rías Baixas,"19,90",Vino blanco,100 % de Albariño
Castro Candaz,A Boca do Demo 2018,2018,"4,2",55,España / Galicia / Ribeira Sacra,"26,90",Vino tinto,100 % de Mencia
Lan,Duquesa De Valladolid Verdejo Rueda 2021,2021,"3,7",77,España / Castilla y León / Rueda,"5,65",Vino blanco,Verdejo
Llopart,Cava Original Brut (Espumos) 2010,2010,"4,4",59,España / Cava,"56,64",Vino espumoso,"Macabeo, Xarel-lo, Montonico Bianco"
Montespina,Sauvignon 2020,2020,"3,7",113,España / Castilla y León / Rueda,"6,30",Vino blanco,100 % de Sauvignon Blanc
El Coto,Coto Real Reserva 2014,2014,"3,7",187,España / Rioja,"24,90",Vino tinto,"Garnacha Tinta, Tempranillo"
Allende,Rioja 2011,2011,"3,9",846,España / Rioja,"39,95",Vino tinto,100 % de Tempranillo
Bodega Contador (Benjamín Romeo),La Cueva del Contador Rioja 2016,2016,"4,4",279,España / Rioja,"67,90",Vino tinto,100 % de Tempranillo
Valtravieso,Ribera del Duero Crianza 2018,2018,"3,9",981,España / Castilla y León / Ribera del Duero,"15,90",Vino tinto,100 % de Tinto Fino
Lustau,Jerez-Xérès-Sherry Moscatel de Chipiona N.V.,8452,"3,9",230,España / Andalucía / Jerez-Xérès-Sherry,"18,40",Vino fortificado,100 % de Moscatel
Abadía Retuerta,Petit Verdot 2015,2015,"4,5",306,España / Castilla y León / Sardón de Duero,"112,75",Vino tinto,100 % de Petit Verdot
