winery,wine,year,rating,num_review,region,price,type,grapes
Celler de Capçanes,Flor de Primavera Peraj Ha'abib 2017,2017,"4,2",169,España / Cataluña / Tarragona / Montsant,"27,50",Vino tinto,100 % de Pinot Noir
Dominio del Águila,Albillo Vinas Viejas 2017,2017,"4,4",127,España / Castilla y León,189,Vino blanco,100 % de Albillo
Inurrieta,Sensaciones 2019,2019,"3,6",49,España / Navarra,"6,90",Vino tinto,"Cabernet Sauvignon, Graciano"
Nebla,Tempranillo Roble 2019,2019,"3,7",258,España / Castilla y León / Ribera del Duero,"8,75",Vino tinto,Tempranillo
Telmo Rodriguez,Pago La Jara 2015,2015,"4,0",55,España / Castilla y León / Toro,"47,95",Vino tinto,100 % de Tinta de toro
Toresanas,Orot Roble 2017,2017,"3,8",60,España / Castilla y León / Toro,"6,25",Vino tinto,Tempranillo
Bocchoris,Cava Brut Nature N.V.,1677,"3,3",373,España / Cava,,Vino espumoso,"Macabeo, Xarel-lo, Parellada"
Bodegas Roda,Roda I Reserva Rioja 2016,2016,"4,4",1364,España / Rioja,"49,05",Vino tinto,100 % de Tempranillo
Albariza,Palomino Fino 2019,2019,"3,1",54,España / Andalucía,"5,80",Vino blanco,Palomino
Manuel Manzaneque Suárez,Mil Cepas 2017,2017,"4,0",52,España / Castilla / La Mancha,"22,25",Vino tinto,Tempranillo
Menade,Clandestino de Menade Tinto Natural 2016,2016,"3,6",79,España / Castilla y León,"10,25",Vino tinto,100 % de Tempranillo
Terroir Al Límit Soc. Lda,Pedra de Guix 2017,2017,"4,2",95,España / Cataluña / Priorato,"57,90",Vino blanco,"Pedro Ximenez, Grenache Blanc, Macabeo"
Orto Vins,La Carrerada 2013,2013,"4,2",51,España / Cataluña / Tarragona / Montsant,41,Vino tinto,100 % de Carignan
Masia Serra,Gneis 2015,2015,"4,1",42,España / Cataluña / Empordà,"33,12",Vino tinto,"Merlot, Cabernet Sauvignon"
Marqués de Riscal,Finca Torrea Rioja 2012,2012,"3,9",488,España / Rioja,"25,48",Vino tinto,"90 % de Tempranillo, 10 % de Graciano"
Codorníu,Ars Collecta Gran Reserva Blanc de Blancs 2017,2017,"4,0",330,España / Cava,"19,90",Vino espumoso,"Xarel-lo, Parellada, Chardonnay"
Habla,Silencio 2015,2015,"3,8",3052,España / Extremadura,"10,60",Vino tinto,"Shiraz/Syrah, Tempranillo, Cabernet Sauvignon"
Benito Santos,Albariño 2020,2020,"3,8",44,España / Galicia / Rías Baixas,"10,70",Vino blanco,Albariño
Abadal,Blanc 2020,2020,"3,8",107,España / Cataluña / Pla de Bages,"7,74",Vino blanco,100 % de Chardonnay
