winery,wine,year,rating,num_review,region,price,type,grapes
Sonsierra,Tempranillo Blanco 2016,2016,"3,4",33,España / Rioja / Rioja Alta,"8,90",Vino blanco,100 % de Tempranillo Blanco
Terra i Vins,Brúixola Blanc 2016,2016,"3,8",32,España / Cataluña / Priorato,"16,45",Vino blanco,"Garnacha Blanca, Pedro Ximenez, Macabeo"
Agro de Bazán,Granbazán Limousin Albariño 2017,2017,"4,2",193,España / Galicia / Rías Baixas,"23,70",Vino blanco,100 % de Albariño
Azpilicueta,Crianza 2018,2018,"3,7",133,España / Rioja,"8,31",Vino tinto,"85 % de Tempranillo, 10 % de Graciano, 5 % de Mazuelo"
Jané Ventura,Finca Els Camps Macabeu 2015,2015,"3,8",35,España / Cataluña / Penedès,"15,90",Vino blanco,100 % de Macabeo
Finca de los Arandinos,Reserva 2014,2014,"4,1",60,España / Rioja,"13,90",Vino tinto,100 % de Tempranillo
Tamaral,Finca Velia Ribera del Duero 2016,2016,"4,4",51,España / Castilla y León / Ribera del Duero,"28,90",Vino tinto,Tempranillo
Joan Rubió,Joanots 2018,2018,"3,7",38,España / Cataluña / Penedès,"20,05",Vino blanco,Macabeo
Bodegas Valdemar,Conde de Valdemar Reserva 2015,2015,"4,1",223,España / Rioja,"9,90",Vino tinto,100 % de Tempranillo
Bajoz,Tinta de Toro 2020,2020,"3,4",168,España / Castilla y León / Toro,"3,50",Vino tinto,Tempranillo
Bodegas Corral - Don Jacobo,Altos de Corral Single Estate Reserva 2015,2015,"4,1",32,España / Rioja,"39,90",Vino tinto,100 % de Tempranillo
Hacienda el Ternero,Torno Crianza 2015,2015,"3,7",255,España / Rioja / Rioja Alta,"8,25",Vino tinto,100 % de Tempranillo
Nin-Ortiz,Planetes de Nin Garnatxes en Àmfora 2017,2017,"3,9",170,España / Cataluña / Priorato,"24,50",Vino tinto,100 % de Garnacha
Torre de Oña,Rioja Reserva 2010,2010,"3,8",809,España / Rioja,"15,50",Vino tinto,"Tempranillo, Mazuelo"
Bodega Otazu,Otazu Chardonnay 2020,2020,"3,8",300,España / Navarra / Otazu,"8,30",Vino blanco,100 % de Chardonnay
Bodegas Cosme Palacio,Glorioso Rioja Crianza 2000,2000,"3,9",25,España / Rioja,"14,50",Vino tinto,Tempranillo
Martinet,Clos Martinet 2008,2008,"4,4",221,España / Cataluña / Priorato,"62,40",Vino tinto,100 % de Garnacha
Sicus,Garrut 2018,2018,"3,7",25,España / Cataluña / Penedès,"16,95",Vino tinto,Monastrell
Viña Albina,Verdejo 2019,2019,"3,4",88,España / Castilla y León / Rueda,"6,90",Vino blanco,100 % de Verdejo
Marqués de Cáceres,Rioja Rosado 2021,2021,"3,6",255,España / Rioja,"5,32",Vino rosado,"Tempranillo, Garnacha Tinta"
Paisajes,Valsalado Rioja 2009,2009,"4,0",51,España / Rioja,"17,80",Vino tinto,"Tempranillo, Mazuelo, Graciano, Grenache"
Tianna Negre,Ses Nines Negre 2019,2019,"3,7",196,España / Islas Baleares / Mallorca / Binissalem-Mallorca,"10,90",Vino tinto,"Cabernet Sauvignon, Merlot, Callet, Manto Negro, Shiraz/Syrah"
Beronia,Rioja Graciano 2017,2017,"3,6",41,España / Rioja,"12,50",Vino tinto,100 % de Graciano
Vivanco,Rioja Blanco 2020,2020,"3,7",144,España / Rioja,"6,40",Vino blanco,"50 % de Viura, 35 % de Tempranillo Blanco, 15 % de Maturana Blanca"
Albet i Noya,Martí Reserva Penedès 2016,2016,"4,4",53,España / Cataluña / Penedès,"35,30",Vino tinto,"Shiraz/Syrah, Cabernet Sauvignon, Garnacha"
Alta Alella,Mirgin Reserva Brut Nature Rosé 2018,2018,"3,9",82,España / Cava,"11,25",Vino espumoso,100 % de Monastrell
Entre Vinyes,Oníric Pet-Nat 2021,2021,"3,7",176,España / Cataluña / Penedès,"8,95",Vino espumoso,"Moscatel, Xarel-lo"
Bodegas Vallobera,Finca Vallobera Rioja 2016,2016,"3,9",47,España / Rioja,"14,46",Vino tinto,Tempranillo
Mas Foraster,Josep Foraster Selecció Blanc 2021,2021,"4,0",39,España / Cataluña / Conca de Barberà,"11,95",Vino blanco,"Chardonnay, Grenache Blanc, Macabeo"
Valdespino,Don Gonzalo Oloroso Viejo VOS N.V.,8187,"4,0",470,España / Andalucía / Jerez-Xérès-Sherry / Jerez Oloroso,"59,90",Vino fortificado,100 % de Palomino
Vinos Sanz,Finca La Colina El Loco Verdejo 2020,2020,"4,1",337,España / Castilla y León / Rueda,"8,90",Vinos Sanz,Verdejo
Pago de Los Capellanes,Parcela El Nogal Tinto 2016,2016,"4,5",766,España / Castilla y León / Ribera del Duero,"40,91",Vino tinto,100 % de Tempranillo
Victoria Ordoñez,La Ola del Melillero Blanco 2018,2018,"3,7",91,España / Castilla y León / Rueda,"12,95",Vino blanco,"85 % de Pedro Ximenez, 15 % de Moscatel"
Creencia,Con Virtud Monastrell 2017,2017,"4,1",69,España / Murcia / Jumilla,"29,90",Vino tinto,Monastrell
Tinto Pesquera,Millenium Reserva 1996,1996,"4,5",109,España / Castilla y León / Ribera del Duero,140,Vino tinto,100 % de Tempranillo
Raimat,Rosada Cabernet Sauvignon - Tempranillo 2018,2018,"3,4",83,España / Cataluña,"9,01",Vino rosado,"Tempranillo, Cabernet Sauvignon"
Juan Gil,Jumilla Yellow Label 2019,2019,"3,8",1882,España / Murcia / Jumilla,"5,95",Vino tinto,100 % de Monastrell
Bodegas Corral - Don Jacobo,Vendimia Seleccionada 2018,2018,"3,8",68,España / Rioja,"8,75",Vino tinto,Tempranillo
Finca Villacreces,Ribera del Duero 2016,2016,"4,0",1101,España / Castilla y León / Ribera del Duero,"24,95",Vino tinto,100 % de Tempranillo
Olivier Rivière,La Bastid Rioja Blanco 2020,2020,"4,0",66,España / Rioja,"20,95",Vino blanco,Macabeo
Martin Berdugo,Barrica 2019,2019,"3,8",169,España / Castilla y León / Ribera del Duero,"7,19",Vino tinto,100 % de Tempranillo
Josep Grau Viticultor,Vespres 2019,2019,"3,8",101,España / Cataluña / Tarragona / Montsant,"14,80",Vino tinto,"Grenache, Samsó"
Izadi,Rioja Selección 2014,2014,"3,9",706,España / Rioja,"26,50",Vino tinto,"80 % de Tempranillo, 20 % de Graciano"
Tinto Pesquera,Millenium Reserva 2002,2002,"4,5",249,España / Castilla y León / Ribera del Duero,140,Vino tinto,100 % de Tempranillo
Santiago Ruiz,Albariño (O Rosal) 2021,2021,"4,1",218,España / Galicia / Rías Baixas,"13,45",Vino blanco,Albariño
Celler Laurona,Tinto 2005,2005,"3,7",201,España / Cataluña / Tarragona / Montsant,"17,91",Vino tinto,"Cariñena, Garnacha, Shiraz/Syrah, Cabernet Sauvignon, Merlot"
Vinos del Paseante,El Pispa Garnatxa 2019,2019,"3,8",155,España / Cataluña / Tarragona / Montsant,"9,35",Vinos del Paseante,100 % de Garnacha
Valdesil,Montenovo Godello 2019,2019,"3,8",239,España / Galicia / Valdeorras,"10,50",Vino blanco,100 % de Godello
Portia,Crianza 2018,2018,"3,8",119,España / Castilla y León / Ribera del Duero,"10,78",Vino tinto,100 % de Tempranillo
Marqués de Cáceres,Rioja Crianza 2019,2019,"3,8",1336,España / Rioja,"7,35",Vino tinto,Tempranillo
José Pariente,Verdejo 2012,2012,"3,8",713,España / Castilla y León / Rueda,"9,50",Vino blanco,100 % de Verdejo
Luis Oliván,Garnacha 2018,2018,"4,0",45,España / Aragón / Campo de Borja,"13,95",Vino tinto,Garnacha
Cuatro Gatos,Cinco Gatos Garnacha 2015,2015,"3,7",52,España / Castilla / La Mancha,"14,90",Vino tinto,Garnacha
Cantalapiedra Viticultores,Mondo 2019,2019,"3,8",73,España / Castilla y León,"16,50",Vino blanco,Verdejo
Castell d'Encus,Ekam Essència 2018,2018,"4,2",153,España / Cataluña / Costers del Segre,"43,90",Vino blanco,100 % de Riesling
Palacios Remondo,Rioja La Vendimia 2018,2018,"3,8",1737,España / Rioja,"7,70",Vino tinto,100 % de Tempranillo
Martinet,Els Escurçons 2010,2010,"4,3",254,España / Cataluña / Priorato,"75,50",Vino tinto,Garnacha
Faustino González,Cruz Vieja Fino en Rama N.V.,7906,"4,0",99,España / Andalucía / Jerez-Xérès-Sherry,,Vino fortificado,Palomino
Irache,Rosado 2010,2010,"3,0",35,España / Navarra,"3,90",Vino rosado,"Tempranillo, Garnacha"
Bodega Numanthia,Termanthia 2010,2010,"4,5",745,España / Castilla y León / Toro,214,Vino tinto,100 % de Tempranillo
Castaño,Solanera Viñas Viejas 2017,2017,"3,8",495,España / Murcia / Yecla,"11,13",Vino tinto,100 % de Mourvedre
Pinord,Diorama Syrah 2019,2019,"3,6",25,España / Cataluña / Tarragona / Montsant,"8,51",Vino tinto,100 % de Shiraz/Syrah
Cellers Grifoll Declara,Gran Predicat Blanc 2018,2018,"4,3",34,España / Cataluña / Priorato,"26,05",Vino blanco,Garnacha Blanca
Cercavins,Lo Virol Tinto 2018,2018,"3,1",55,España / Cataluña / Costers del Segre,"5,50",Vino tinto,"Shiraz/Syrah, Merlot, Tempranillo"
Viña Costeira,Meu Treixadura Blanco 2020,2020,"3,9",36,España / Galicia / Ribeiro,"12,95",Vino blanco,Treixadura
La Vizcaína,El Rapolao (Lomas de Valtuille) 2019,2019,"4,1",206,España / Castilla y León / Bierzo,"21,90",Vino tinto,100 % de Mencia
Macià Batle,Dos Marias 2013,2013,"3,2",51,España / Islas Baleares / Mallorca,"7,95",Vino tinto,"Shiraz/Syrah, Cabernet Sauvignon, Merlot, Manto Negro"
Finca Viñoa,Paraje Penaboa 2014,2014,"4,0",264,España / Galicia / Ribeiro,"25,75",Vino blanco,"Loureiro, Godello, Albariño, Treixadura"
Bodegas Tradición,Fino N.V.,7478,"3,9",1183,España / Andalucía / Jerez-Xérès-Sherry / Jerez Fino,"27,95",Vino fortificado,100 % de Palomino
Rodríguez de Vera,Pituco MST 2020,2020,"3,5",32,España / Castilla,"7,25",Vino tinto,"Garnacha Tintorera, Shiraz/Syrah, Tempranillo"
Balmoral,Edoné Gran Cuvée Extra Brut 2013,2013,"3,4",59,España / Castilla,"13,50",Vino espumoso,"Chardonnay, Pinot Noir"
